# Time-averaged data for fix energy_flux
# TimeStep f_11 f_12
910000 -11.9559 12.1751
911000 -12.12 11.3317
912000 -11.821 11.5712
913000 -11.6725 11.487
914000 -10.9102 10.8479
915000 -11.5034 10.0137
916000 -11.0849 10.9458
917000 -11.1339 9.52435
918000 -11.6107 8.56372
919000 -11.3926 9.44936
920000 -11.2521 9.60093
921000 -10.6939 8.73789
922000 -11.407 9.30154
923000 -11.5929 8.62496
924000 -11.6064 9.14823
925000 -12.32 10.2083
926000 -11.4701 10.1176
927000 -11.3153 9.27648
928000 -11.3095 8.70678
929000 -10.8102 8.61062
930000 -11.1603 8.72164
931000 -10.5417 8.42089
932000 -9.59727 8.29945
933000 -10.2494 8.57219
934000 -10.741 8.66525
935000 -11.6708 7.9109
936000 -11.1809 7.64967
937000 -12.1104 7.94867
938000 -11.4567 8.09197
939000 -11.5236 8.38255
940000 -11.4735 8.41126
941000 -11.7063 8.99868
942000 -12.193 9.71247
943000 -13.5003 10.5688
944000 -14.0958 9.81701
945000 -13.9972 9.464
946000 -13.9432 9.39914
947000 -13.1636 9.9756
948000 -12.3108 9.15123
949000 -12.7367 10.0401
950000 -12.4537 9.97914
951000 -12.2655 9.01497
952000 -11.7812 9.85353
953000 -11.9139 10.2151
954000 -11.1511 10.5538
955000 -12.3437 10.6216
956000 -12.5004 11.0875
957000 -13.1964 10.9299
958000 -12.4637 11.3576
959000 -11.7931 10.5753
960000 -11.1062 10.4564
961000 -10.7963 9.74663
962000 -11.5649 9.60399
963000 -12.0111 9.45433
964000 -11.9712 9.69145
965000 -11.9531 10.428
966000 -11.8558 11.4075
967000 -11.7505 11.116
968000 -11.6669 11.2758
969000 -11.8697 11.6043
970000 -12.3615 11.5673
971000 -11.7157 11.29
972000 -11.5941 10.5835
973000 -11.3486 9.70276
974000 -11.3532 8.76485
975000 -11.9183 8.44797
976000 -12.0598 9.59953
977000 -12.7705 10.397
978000 -12.6866 10.4349
979000 -11.8595 9.44716
980000 -12.3854 9.56395
981000 -12.0718 10.1881
982000 -12.0637 10.2724
983000 -11.7436 9.75615
984000 -11.0752 9.7692
985000 -10.8173 9.66515
986000 -11.1498 10.0167
987000 -11.8875 9.01221
988000 -11.6975 9.23259
989000 -11.6493 9.70575
990000 -11.455 9.09781
991000 -12.3241 8.26027
992000 -11.0076 8.47449
993000 -10.7128 9.33984
994000 -11.3784 9.72573
995000 -11.8283 9.65114
